BC_to_correct,OG_BC,percent_OG_BC,percent_BC_to_correct
BC_01,BC_01,0.9235137102644989,0.9235137102644989
BC_02,BC_01,0.9235137102644989,0.057461781121087116
BC_01,BC_02,0.5871060039688034,0.38571230790530253
BC_02,BC_02,0.5871060039688034,0.5871060039688034
BC_90,BC_02,0.5871060039688034,0.0011537219068715678
BC_01,BC_03,0.5500222444666889,0.07554776999221444
BC_02,BC_03,0.5500222444666889,0.3557446335224113
BC_03,BC_03,0.5500222444666889,0.5500222444666889
BC_64,BC_03,0.5500222444666889,0.001001001001001001
BC_01,BC_04,0.6365272026274453,0.00619734399543053
BC_02,BC_04,0.6365272026274453,0.020134228187919462
BC_03,BC_04,0.6365272026274453,0.3190918177923747
BC_04,BC_04,0.6365272026274453,0.6365272026274453
BC_01,BC_05,0.7164361127565421,0.0024739537962995225
BC_02,BC_05,0.7164361127565421,0.0026830203142966655
BC_03,BC_05,0.7164361127565421,0.06338199937280045
BC_04,BC_05,0.7164361127565421,0.19446670615700895
BC_05,BC_05,0.7164361127565421,0.7164361127565421
BC_158,BC_05,0.7164361127565421,0.0010801770096519041
BC_64,BC_05,0.7164361127565421,0.0013589323669814279
BC_03,BC_06,0.8128854730050289,0.004839168801594079
BC_04,BC_06,0.8128854730050289,0.00825505266154284
BC_05,BC_06,0.8128854730050289,0.13568649777018693
BC_06,BC_06,0.8128854730050289,0.8128854730050289
BC_52,BC_06,0.8128854730050289,0.0014549134959041022
BC_57,BC_06,0.8128854730050289,0.0013600278331277478
BC_90,BC_06,0.8128854730050289,0.0017395704842331657
BC_95,BC_06,0.8128854730050289,0.0018977132555270898
BC_97,BC_06,0.8128854730050289,0.0016130562671980264
BC_01,BC_07,0.8567093728927849,0.0012643290627107216
BC_02,BC_07,0.8567093728927849,0.0010114632501685772
BC_03,BC_07,0.8567093728927849,0.003287255563047876
BC_04,BC_07,0.8567093728927849,0.003624409979770735
BC_05,BC_07,0.8567093728927849,0.01820633850303439
BC_06,BC_07,0.8567093728927849,0.0953304113283884
BC_07,BC_07,0.8567093728927849,0.8567093728927849
BC_01,BC_08,0.9126858821369561,0.0035248760785753625
BC_02,BC_08,0.9126858821369561,0.002753809436387002
BC_03,BC_08,0.9126858821369561,0.0013585459886175876
BC_04,BC_08,0.9126858821369561,0.001799155498439508
BC_05,BC_08,0.9126858821369561,0.003965485588397283
BC_06,BC_08,0.9126858821369561,0.006241968055810538
BC_07,BC_08,0.9126858821369561,0.03477143381677988
BC_08,BC_08,0.9126858821369561,0.9126858821369561
BC_52,BC_08,0.9126858821369561,0.001064806315402974
BC_57,BC_08,0.9126858821369561,0.0012483936111621077
BC_90,BC_08,0.9126858821369561,0.0016155682026803746
BC_97,BC_08,0.9126858821369561,0.0017624380392876813
BC_01,BC_09,0.9476016804394995,0.008540695258759983
BC_02,BC_09,0.9476016804394995,0.009279349983841927
BC_04,BC_09,0.9476016804394995,0.0014311435298462675
BC_06,BC_09,0.9476016804394995,0.0023082960158810764
BC_07,BC_09,0.9476016804394995,0.003647107705092101
BC_08,BC_09,0.9476016804394995,0.008309865657171876
BC_09,BC_09,0.9476016804394995,0.9476016804394995
BC_01,BC_10,0.9215718581373317,0.011615932775878404
BC_02,BC_10,0.9215718581373317,0.01713556040696956
BC_03,BC_10,0.9215718581373317,0.004160316348807513
BC_04,BC_10,0.9215718581373317,0.007373233925114305
BC_05,BC_10,0.9215718581373317,0.0010297812744573052
BC_06,BC_10,0.9215718581373317,0.0021007537998929027
BC_08,BC_10,0.9215718581373317,0.001935988795979734
BC_09,BC_10,0.9215718581373317,0.012604522799357417
BC_10,BC_10,0.9215718581373317,0.9215718581373317
BC_64,BC_10,0.9215718581373317,0.0013181200313053508
BC_94,BC_10,0.9215718581373317,0.0010709725254355975
BC_01,BC_11,0.9051142805991526,0.00662409739213463
BC_02,BC_11,0.9051142805991526,0.010920809214059796
BC_03,BC_11,0.9051142805991526,0.00751924568836904
BC_04,BC_11,0.9051142805991526,0.014382049292832846
BC_05,BC_11,0.9051142805991526,0.0026257683356209344
BC_06,BC_11,0.9051142805991526,0.007399892582204452
